Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Тарасівська, 2",3 кімнати,85 м²,46 816 грн,"Голосіївський,",Університет,"{'lat': 50.4403941, 'lng': 30.5079795}",Університет,1.702
"просп. Берестейський(Перемоги), 26А",1 кімната,45 м²,28 090 грн,"Шевченківський,",Політехнічний інститут,"{'lat': 50.4518284, 'lng': 30.4675085}",Політехнічний інститут,1.296
"вул. Михайла Грушевського, 34А",3 кімнати,115 м²,37 453 грн,"Печерський,",Арсенальна,"{'lat': 50.44330859999999, 'lng': 30.5404021}",Арсенальна,0.441
"вул. Практична, 17",2 кімнати,64 м²,31 835 грн,"Голосіївський,",Васильківська,"{'lat': 50.3945334, 'lng': 30.4703223}",Виставковий центр,2.541
"вул. Хрещатик, 25",4 кімнати,100 м²,44 944 грн,"Шевченківський,",Хрещатик,"{'lat': 50.44446250000001, 'lng': 30.5227786}",Театральна,5.02
"вул. Василя Тютюнника, 50",1 кімната,50 м²,29 963 грн,"Печерський,",Либідська,"{'lat': 50.4187241, 'lng': 30.526469}",Палац Україна,0.787
"вул. Олеся Гончара, 35",3 кімнати,150 м²,93 633 грн,"Печерський,",Золоті ворота,"{'lat': 50.4510787, 'lng': 30.5074115}",Золоті ворота,1.166
"вул. Лютеранська, 27/29",3 кімнати,100 м²,37 453 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4433127, 'lng': 30.5289257}",Майдан Незалежності,1.06
"вул. Деміївська, 14",2 кімнати,60 м²,24 345 грн,"Голосіївський,",Деміївська,"{'lat': 50.4041085, 'lng': 30.51209399999999}",Деміївська,3.859
"пров. Лабораторний, 6",2 кімнати,80 м²,26 217 грн,"Печерський,",Печерська,"{'lat': 50.4260517, 'lng': 30.5212011}",Палац Україна,1.318
"бул. Лесі Українки, 8",3 кімнати,94 м²,101 124 грн,"Печерський,",Кловська,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"бул. Тараса Шевченка, 30",2 кімнати,135 м²,151 685 грн,"Шевченківський,",Університет,"{'lat': 50.445347, 'lng': 30.5049181}",Університет,0.62
"вул. Драгомирова, 9",2 кімнати,120 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Саперне Поле, 5",3 кімнати,76 м²,41 198 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Маккейна Джона, 7",3 кімнати,75 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Академика Філатова, 53",3 кімнати,104 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Академика Філатова, 53",3 кімнати,104 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Болсуновська, 2",2 кімнати,85 м²,63 670 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Золотоустівська, 16",3 кімнати,107 м²,32 000 грн,"Печерський,",,"{'lat': 50.44935479999999, 'lng': 30.4895185}",Вокзальна,1.502
"просп. Оболонський, 26",4 кімнати,115 м²,61 798 грн,"Оболонський,",Оболонь,"{'lat': 50.48630439999999, 'lng': 30.4982291}",Почайна,2.945
"пров. Лабораторний, 7",1 кімната,49 м²,37 453 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Садова, 45",5 кімнат,260 м²,38 000 грн,"Дарницький,",Осокорки,"{'lat': 50.3889282, 'lng': 30.4341609}",Іподром,5.453
"вул. Академика Філатова, 52/1",1 кімната,50 м²,29 963 грн,",","Палац ""Україна""","{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Буслівська, 15",3 кімнати,113 м²,74 906 грн,"Печерський,",,"{'lat': 50.4068854, 'lng': 30.5572934}",Дружби народів,2.677
"вул. Академика Філатова, 53",3 кімнати,110 м²,41 198 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Деміївська, 13",1 кімната,50 м²,26 217 грн,"Голосіївський,",Голосіївська,"{'lat': 50.4038045, 'lng': 30.5138064}",Деміївська,4.054
"Тургеневская ул., 44",4 кімнати,165 м²,101 124 грн,"Шевченківський,",,"{'lat': 50.4523333, 'lng': 30.4923014}",Лук'янівська,1.479
"вул. Сікорського, 4",2 кімнати,75 м²,26 217 грн,"Шевченківський,",,"{'lat': 50.4655061, 'lng': 30.4321317}",Берестейська,1.469
"просп. Володимира Івасюка, 24",3 кімнати,160 м²,44 944 грн,"Оболонський,",Мінська,"{'lat': 50.5115776, 'lng': 30.5085657}",Мінська,1.15
"вул. Саперне Поле, 5",3 кімнати,76 м²,41 198 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"пров. Коломийський, 17/31",3 кімнати,106 м²,52 434 грн,"Голосіївський,",,"{'lat': 50.38841799999999, 'lng': 30.495492}",Голосіївська,1.811
"вул. Маккейна Джона, 7",2 кімнати,52 м²,33 708 грн,"Печерський,",Либідська,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Драгомирова, 9",3 кімнати,120 м²,48 689 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Предславинська, 55А",2 кімнати,50 м²,37 453 грн,"Печерський,",,"{'lat': 50.415869, 'lng': 30.5272892}",Либідська,1.4
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,33 708 грн,"Печерський,",Печерська,"{'lat': 50.4209277, 'lng': 30.5326337}",Палац Україна,1.065
"вул. Буслівська, 12",2 кімнати,70 м²,44 569 грн,"Печерський,",Дружби народів,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"бул. Лесі Українки, 8",2 кімнати,94 м²,89 888 грн,"Печерський,",Кловська,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Ділова, 1/2",2 кімнати,55 м²,29 963 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Предславинська, 44",3 кімнати,80 м²,93 633 грн,"Печерський,",Либідська,"{'lat': 50.4152868, 'lng': 30.526255}",Либідська,1.268
"просп. Володимира Івасюка, 24А",4 кімнати,160 м²,28 090 грн,"Оболонський,",Мінська,"{'lat': 50.5126742, 'lng': 30.5077779}",Мінська,1.069
"вул. Василя Тютюнника, 28А",2 кімнати,60 м²,41 198 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4248926, 'lng': 30.5224754}",Палац Україна,1.13
"Деловая, 2Д",2 кімнати,130 м²,56 180 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"пров. Лабораторний, 7",3 кімнати,80 м²,33 708 грн,"Печерський,",Кловська,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Академика Філатова, 53",3 кімнати,110 м²,41 198 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}",Либідська,0.811
"вул. Драгомирова, 12",1 кімната,50 м²,22 472 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Михайла Бойчука, 17",1 кімната,55 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.412752, 'lng': 30.550927}",Дружби народів,1.721
"пров. Лабораторний, 7",3 кімнати,74 м²,31 835 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Антоновича, 74",1 кімната,50 м²,26 217 грн,"Печерський,",,"{'lat': 50.4261288, 'lng': 30.5140672}",Олімпійська,1.186
"вул. Сікорського, 4",3 кімнати,82 м²,24 345 грн,"Шевченківський,",,"{'lat': 50.4655061, 'lng': 30.4321317}",Берестейська,1.469
"вул. Ділова, 2Д",2 кімнати,130 м²,56 180 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"пров. Лабораторний, 7",2 кімнати,74 м²,31 835 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Лютеранська, 27/29",3 кімнати,100 м²,37 453 грн,"Шевченківський,",Університет,"{'lat': 50.4433127, 'lng': 30.5289257}",Майдан Незалежності,1.06
"бул. Лесі Українки, 8",2 кімнати,95 м²,101 124 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Ділова, 1/2",3 кімнати,90 м²,48 689 грн,"Печерський,",Олімпійська,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
"вул. Редутна, 60",2 кімнати,50 м²,26 217 грн,"Печерський,",,"{'lat': 50.42669950000001, 'lng': 30.5579758}",Печерська,2.422
вул. Маккейна Джона,1 кімната,47 м²,24 345 грн,"Печерський,",Либідська,"{'lat': 50.4171454, 'lng': 30.5375661}",Дружби народів,1.468
"вул. Драгомирова, 9",3 кімнати,140 м²,33 708 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Маккейна Джона, 7",3 кімнати,70 м²,67 416 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}",Либідська,1.072
"вул. Богдана Хмельницького, 58А",3 кімнати,154 м²,56 180 грн,"Шевченківський,",,"{'lat': 50.4480724, 'lng': 30.5054962}",Університет,1.152
"вул. Драгомирова, 12",1 кімната,50 м²,22 472 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"(Кіквідзе) Бойчука Михайла, 39",1 кімната,58 м²,33 708 грн,"Печерський,",Видубичі,"{'lat': 50.4066155, 'lng': 30.5527772}",Дружби народів,2.371
"вул. Рейтарська, 11",4 кімнати,125 м²,74 906 грн,"Печерський,",Золоті ворота,"{'lat': 50.4512188, 'lng': 30.5126959}",Золоті ворота,1.424
вул. Михайла Бойчука,3 кімнати,77 м²,28 090 грн,"Печерський,",,"{'lat': 50.4107654, 'lng': 30.549595}",Дружби народів,1.817
"бульвар Лесі Українки, 7А",2 кімнати,100 м²,44 944 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"бул. Тараса Шевченка, 27Б",5 кімнат,188 м²,56 180 грн,"Шевченківський,",Вокзальна,"{'lat': 50.445198, 'lng': 30.4972789}",Університет,1.048
"Преображенская Клименко Ивана, 8Б",3 кімнати,113 м²,41 573 грн,"Солом'янський,",Університет,"{'lat': 50.4242448, 'lng': 30.4724908}",Вокзальна,4.571
"вул. Івана Франка, 8/10",1 кімната,40 м²,29 963 грн,"Шевченківський,",,"{'lat': 50.4498976, 'lng': 30.5095713}",Золоті ворота,0.83
"вул. Василя Тютюнника, 51/2",3 кімнати,110 м²,37 453 грн,"Печерський,",,"{'lat': 50.4170334, 'lng': 30.528746}",Либідська,1.27
"пров. Лабораторний, 7",1 кімната,56 м²,28 090 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"бул. Лесі Українки, 30Б",4 кімнати,157 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.42355800000001, 'lng': 30.5416008}",Печерська,1.028
"Гонгадзе, 20В",2 кімнати,62 м²,9 000 грн,"Подільський,",Сирець,"{'lat': 50.511755, 'lng': 30.4172587}",Сирець,7.776
"бул. Лесі Українки, 7Б",2 кімнати,55 м²,33 708 грн,"Печерський,",,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Лютеранська, 8",2 кімнати,100 м²,37 453 грн,"Печерський,",Хрещатик,"{'lat': 50.4459282, 'lng': 30.5238571}",Хрещатик,4.404
"вул. Драгомирова, 18",2 кімнати,50 м²,26 217 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"просп. Бажана Миколи, 1",3 кімнати,65 м²,44 944 грн,"Дарницький,",Осокорки,"{'lat': 50.3957005, 'lng': 30.615595}",Осокорки,1.732
"вул. Саксаганського, 37К",2 кімнати,64 м²,37 453 грн,"Голосіївський,",Золоті ворота,"{'lat': 50.4354538, 'lng': 30.5125045}",Олімпійська,0.671
"бул. Лесі Українки, 7Б",3 кімнати,136 м²,41 198 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}",Кловська,1.356
"вул. Ділова, 1/2",1 кімната,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}",Олімпійська,0.573
вул. Маккейна Джона,2 кімнати,72 м²,67 416 грн,"Печерський,",,"{'lat': 50.4171454, 'lng': 30.5375661}",Дружби народів,1.468
"Кудри, 7Ма",2 кімнати,52 м²,33 708 грн,"Печерський,",,"{'lat': 50.4171454, 'lng': 30.5375661}",Дружби народів,1.468
"вул. Героїв Севастополя, 35А",1 кімната,50 м²,26 217 грн,"Солом'янський,",Шулявська,"{'lat': 50.4335007, 'lng': 30.4231781}",Шулявська,4.576
"вул. Предславинська, 44",1 кімната,46 м²,29 963 грн,"Печерський,",,"{'lat': 50.4152868, 'lng': 30.526255}",Либідська,1.268
"вул. Драгомирова, 2",3 кімнати,84 м²,16 854 грн,"Печерський,",,"{'lat': 50.4139683, 'lng': 30.5462505}",Дружби народів,1.647
"вулиця Михайла Ломоносова, 73В",3 кімнати,120 м²,56 180 грн,"Голосіївський,",,"{'lat': 50.3863894, 'lng': 30.4708171}",Виставковий центр,2.042
"вул. Рогнідинська, 1/13",2 кімнати,75 м²,25 000 грн,"Печерський,",Палац спорту,"{'lat': 50.43993, 'lng': 30.519892}",Площа Льва Толстого,1.874
"вул. Жилянська, 59",4 кімнати,160 м²,74 906 грн,"Шевченківський,",Університет,"{'lat': 50.4377164, 'lng': 30.4996084}",Університет,1.559
"вул. Саперне Поле, 12",2 кімнати,81 м²,33 708 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4175225, 'lng': 30.5299452}",Либідська,1.211
"вулиця Голосіївська, 13А",2 кімнати,70 м²,21 000 грн,"Голосіївський,",Голосіївська,"{'lat': 50.398803, 'lng': 30.5198689}",Деміївська,4.715
"вул. Глибочицька, 13",2 кімнати,82 м²,23 000 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4618135, 'lng': 30.48904769999999}",Лук'янівська,0.564
"вул. Регенераторна, 17",3 кімнати,85 м²,27 000 грн,"Дніпровський,",,"{'lat': 50.437248, 'lng': 30.6178176}",Дарниця,3.079
"Кловский спуск, 5",4 кімнати,165 м²,44 944 грн,"Печерський,",Дніпро,"{'lat': 50.4421529, 'lng': 30.5391674}",Арсенальна,0.576
"вул. Саперне Поле, 5А",4 кімнати,150 м²,187 266 грн,"Печерський,",,"{'lat': 50.4195381, 'lng': 30.5322298}",Палац Україна,0.998
"улица Евгения Коновальца, 44А",1 кімната,70 м²,41 198 грн,"Печерський,",,"{'lat': 50.4232239, 'lng': 30.5385719}",Печерська,3.253
"вул. Саксаганського, 121",4 кімнати,140 м²,25 000 грн,"Шевченківський,",Університет,"{'lat': 50.4418617, 'lng': 30.4977371}",Університет,2.052
"вул. Михайлівська, 19",2 кімнати,70 м²,56 180 грн,"Шевченківський,",,"{'lat': 50.4540425, 'lng': 30.5210876}",Васильківська,0.569
"вул. Олександра Мишуги, 2",4 кімнати,148 м²,13 000 грн,"Дарницький,",Позняки,"{'lat': 50.39821, 'lng': 30.6405549}",Позняки,3.537
"проспект Свободи, 5",4 кімнати,107 м²,20 000 грн,"Подільський,",,"{'lat': 50.50717640000001, 'lng': 30.4321642}",Сирець,8.202
"Феодоры Пушиной, 50А",3 кімнати,117 м²,18 000 грн,"Святошинський,",Житомирська,"{'lat': 50.4583223, 'lng': 30.3548873}",Академмістечко,2.664
"бул. Лесі Українки, 9",4 кімнати,90 м²,25 000 грн,"Печерський,",Печерська,"{'lat': 50.4317752, 'lng': 30.5343559}",Печерська,1.362
"вул. Воздвиженська, 20Г",3 кімнати,120 м²,44 944 грн,"Подільський,",,"{'lat': 50.4607016, 'lng': 30.5097661}",Контрактова площа,1.029
"вулиця Академіка Заболотного, 15Б",1 кімната,50 м²,17 000 грн,"Голосіївський,",Теремки,"{'lat': 50.3573803, 'lng': 30.4782358}",Теремки,4.724
"вулиця Вишняківська, 7Б",3 кімнати,94 м²,14 000 грн,"Дарницький,",Осокорки,"{'lat': 50.393285, 'lng': 30.647451}",Харківська,1.817
"вул. Предславинська, 42А",2 кімнати,70 м²,41 198 грн,"Печерський,",Либідська,"{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"вул. Богатирська, 6А",1 кімната,36 м²,14 000 грн,"Оболонський,",Героїв Дніпра,"{'lat': 50.51943929999999, 'lng': 30.48473499999999}",Героїв Дніпра,4.543
"вул. Предславинська, 55",2 кімнати,50 м²,29 963 грн,"Печерський,",Либідська,"{'lat': 50.415693, 'lng': 30.5266535}",Либідська,1.311
"вул. Ломоносова, 48А",3 кімнати,110 м²,22 000 грн,"Голосіївський,",Виставковий центр,"{'lat': 50.3872, 'lng': 30.4654205}",Виставковий центр,2.375
"вул. Драгомирова, 18",1 кімната,190 м²,183 521 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Глибочицька, 73-77",1 кімната,54 м²,27 000 грн,"Шевченківський,",,"{'lat': 50.4632151, 'lng': 30.5039694}",Контрактова площа,1.482
"вул. Предславинська, 42А",2 кімнати,58 м²,28 500 грн,,"Палац ""Україна""","{'lat': 50.4156007, 'lng': 30.525237}",Либідська,1.211
"вул. Професора Підвисоцького, 6В",2 кімнати,90 м²,20 000 грн,"Печерський,",,"{'lat': 50.4151701, 'lng': 30.5441374}",Дружби народів,2.109
"вул. Предславинська, 40",2 кімнати,45 м²,25 000 грн,"Печерський,",,"{'lat': 50.4161335, 'lng': 30.525454}",Либідська,1.244
"вул. Драгомирова, 18А",4 кімнати,170 м²,123 595 грн,"Печерський,",Дружби народів,"{'lat': 50.4101353, 'lng': 30.5445326}",Дружби народів,2.89
"вул. Драгомирова, 17",3 кімнати,70 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 16Б",4 кімнати,170 м²,112 360 грн,"Печерський,",Дружби народів,"{'lat': 50.4108611, 'lng': 30.5444949}",Дружби народів,2.116
"вул. Антоновича, 74-78",2 кімнати,86 м²,52 434 грн,"Голосіївський,",,"{'lat': 50.4261288, 'lng': 30.5140672}",Олімпійська,1.186
"вул. Драгомирова, 11",4 кімнати,183 м²,86 142 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Василя Тютюнника, 37/1",1 кімната,82 м²,41 198 грн,",",,"{'lat': 50.421121, 'lng': 30.5263204}",Палац Україна,0.663
"вул. Лисенка, 2А",3 кімнати,144 м²,63 670 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4489972, 'lng': 30.51152949999999}",Золоті ворота,0.641
"вул. Драгомирова, 17",2 кімнати,63 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 16",1 кімната,60 м²,37 453 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Драгомирова, 16",1 кімната,60 м²,37 453 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Драгомирова, 16",3 кімнати,120 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"просп. Голосіївський, 68",3 кімнати,120 м²,28 000 грн,"Голосіївський,",Голосіївська,"{'lat': 50.3993154, 'lng': 30.5108787}",Голосіївська,0.287
"вул. Предславинська, 57",2 кімнати,82 м²,37 453 грн,"Печерський,",Либідська,"{'lat': 50.4152701, 'lng': 30.5273529}",Либідська,1.274
"вул. Драгомирова, 14",3 кімнати,151 м²,82 397 грн,"Печерський,",Дружби народів,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Саперне Поле, 5",2 кімнати,72 м²,33 708 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Новоселицька, 10",2 кімнати,100 м²,74 906 грн,"Печерський,",,"{'lat': 50.4083967, 'lng': 30.5555335}",Дружби народів,2.666
"вул. Маккейна Джона, 3А",3 кімнати,85 м²,52 434 грн,"Печерський,",Либідська,"{'lat': 50.4147002, 'lng': 30.5275287}",Либідська,1.21
"вул. Коновальця Євгена, 34А",3 кімнати,128 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4273172, 'lng': 30.5331551}",Печерська,0.635
"вул. Драгомирова, 17",2 кімнати,55 м²,33 708 грн,"Печерський,",Дружби народів,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 18",3 кімнати,120 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Драгомирова, 9",2 кімнати,62 м²,31 835 грн,"Печерський,",Дружби народів,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Драгомирова, 20",2 кімнати,54 м²,29 963 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Ломоносова, 34А",3 кімнати,85 м²,25 000 грн,"Голосіївський,",Васильківська,"{'lat': 50.3896648, 'lng': 30.4776109}",Виставковий центр,1.345
"вул. Предславинська, 53",2 кімнати,86 м²,35 000 грн,"Печерський,",Либідська,"{'lat': 50.4163373, 'lng': 30.5264989}",Либідська,1.272
"пров. Лабораторний, 7",2 кімнати,63 м²,26 217 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Драгомирова, 20",5 кімнат,320 м²,486 891 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Болсуновська, 2",2 кімнати,92 м²,37 453 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}",Дружби народів,1.647
"вул. Драгомирова, 15Б",2 кімнати,87 м²,31 835 грн,"Печерський,",Дружби народів,"{'lat': 50.4081006, 'lng': 30.5449295}",Дружби народів,3.007
"бул. Лесі Українки, 7В",3 кімнати,87 м²,52 000 грн,"Печерський,",,"{'lat': 50.4346578, 'lng': 30.5312405}",Кловська,1.088
"вул. Василя Тютюнника, 28",1 кімната,58 м²,30 000 грн,"Печерський,",,"{'lat': 50.4244701, 'lng': 30.523154}",Палац Україна,1.026
"вул. Драгомирова, 18",1 кімната,52 м²,22 472 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}",Дружби народів,2.166
"вул. Саперне Поле, 5",1 кімната,62 м²,44 944 грн,"Печерськ,","Палац ""Україна""","{'lat': 50.4190988, 'lng': 30.53113699999999}",Палац Україна,1.119
"вул. Драгомирова, 11",4 кімнати,183 м²,93 633 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"пров. Лабораторний, 7",2 кімнати,63 м²,48 689 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4254132, 'lng': 30.519832}",Палац Україна,1.103
"вул. Зарічна, 16",2 кімнати,49 м²,18 500 грн,"Дарницький,",Славутич,"{'lat': 50.3951037, 'lng': 30.6035855}",Славутич,2.097
"вул. Тургенєвська, 76-78",3 кімнати,152 м²,56 180 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.455254, 'lng': 30.489831}",Лук'янівська,1.858
"вул. Срібнокільська, 1",4 кімнати,140 м²,33 708 грн,"Дарницький,",Позняки,"{'lat': 50.4026826, 'lng': 30.6305149}",Позняки,0.879
"вул. Урлівська, 21А",2 кімнати,85 м²,14 981 грн,"Дарницький,",Позняки,"{'lat': 50.4101612, 'lng': 30.6144539}",Осокорки,3.654
"просп. Бажана Миколи, 24",3 кімнати,100 м²,18 500 грн,"Дарницький,",Позняки,"{'lat': 50.3984485, 'lng': 30.6429499}",Позняки,3.662
"вул. Ревуцького, 7",2 кімнати,75 м²,13 109 грн,"Дарницький,",Харківська,"{'lat': 50.4203583, 'lng': 30.6424617}",Харківська,3.607
"вул. Здолбунівська, 13",3 кімнати,98 м²,18 000 грн,"Дарницький,",Позняки,"{'lat': 50.4180038, 'lng': 30.6253901}",Позняки,2.446
"вул. Декабристів, 10А",3 кімнати,80 м²,10 000 грн,"Дарницький,",Харківська,"{'lat': 50.4046525, 'lng': 30.6526022}",Харківська,0.287
"просп. Петра Григоренка, 39А",2 кімнати,52 м²,11 811 грн,"Дарницький,",Позняки,"{'lat': 50.3934186, 'lng': 30.6388966}",Позняки,3.247
"вул. Буслівська, 12",3 кімнати,121 м²,31 835 грн,"Печерський,",Дружби народів,"{'lat': 50.4073727, 'lng': 30.5566101}",Дружби народів,2.618
"вул. Івана Федорова, 2А",3 кімнати,109 м²,161 049 грн,"Печерський,",,"{'lat': 50.4288476, 'lng': 30.5199561}",Олімпійська,0.74
"вул. Ярославська, 56",7 кімнат,676 м²,202 247 грн,"Подільський,",,"{'lat': 50.4716225, 'lng': 30.5183157}",Контрактова площа,0.897
"вул. Євгена Сверстюка, 1А",1 кімната,45 м²,16 500 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4517147, 'lng': 30.59945789999999}",Лівобережна,0.139
вул. Ярославів Вал,6 кімнат,360 м²,337 079 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4511475, 'lng': 30.5098632}",Золоті ворота,0.896
вул. Михайла Бойчука,2 кімнати,54 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4107654, 'lng': 30.549595}",Дружби народів,1.817
"вул. Василя Верховинця, 10",2 кімнати,77 м²,15 000 грн,"Святошинський,",Вокзальна,"{'lat': 50.4349247, 'lng': 30.3957115}",Нивки,5.299
"бул. Лесі Українки, 24",3 кімнати,90 м²,30 000 грн,"Печерський,",Печерська,"{'lat': 50.4300907, 'lng': 30.53510189999999}",Печерська,0.594
"вул. Регенераторна, 17",3 кімнати,101 м²,27 000 грн,"Дніпровський,",,"{'lat': 50.437248, 'lng': 30.6178176}",Дарниця,3.079
"вул. Каховська, 62А",1 кімната,20 м²,10 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4634919, 'lng': 30.5908184}",Лівобережна,2.126
"вул. Глибочицька, 73",1 кімната,54 м²,37 453 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4632151, 'lng': 30.5039694}",Контрактова площа,1.482
"наб. Дніпровська, 18",1 кімната,47 м²,26 217 грн,"Дарницький,",Дніпро,"{'lat': 50.3986819, 'lng': 30.6146742}",Осокорки,1.692
"бул. Лесі Українки, 8",1 кімната,52 м²,41 198 грн,"Печерський,",,"{'lat': 50.4364836, 'lng': 30.5273173}",Кловська,1.094
"вул. Горького, 44",1 кімната,73 м²,63 670 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}",Олімпійська,0.388
"вул. Левка Лук'яненка, 21/1",3 кімнати,117 м²,30 000 грн,"Оболонський,",,"{'lat': 50.4501, 'lng': 30.5234}",Васильківська,0.0
"вул. Лютеранська, 27-29",3 кімнати,100 м²,41 198 грн,"Печерський,",,"{'lat': 50.4433127, 'lng': 30.5289257}",Майдан Незалежності,1.06
