Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Драгомирова, 9",4 кімнати,120 м²,60 000 грн,"Печерський,",
"вул. Тургенєвська, 44",4 кімнати,167 м²,86 142 грн,"Шевченківський,",
"вул. Банкова, 12",1 кімната,100 м²,37 453 грн,"Печерський,",
"вул. Ковпака, 17",3 кімнати,120 м²,29 963 грн,"Печерський,",
"просп. Голосіївський, 60",3 кімнати,100 м²,46 816 грн,"Голосіївський,",
"просп. Голосіївський, 60",2 кімнати,101 м²,56 180 грн,"Голосіївський,",
"вул. Ломоносова, 73-79",3 кімнати,120 м²,56 180 грн,"Голосіївський,",
"вул. Сергія Колоса, 2",2 кімнати,50 м²,44 944 грн,"Печерський,",
"Лабораторный пер., 7",2 кімнати,76 м²,56 180 грн,"Печерський,",
"вул. Панаса Мирного, 28А",5 кімнат,190 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 17",5 кімнат,217 м²,224 719 грн,"Печерський,",
"вул. Драгомирова, 18",3 кімнати,130 м²,74 906 грн,"Печерський,",
"вул. Драгомирова, 11Б",3 кімнати,97 м²,56 180 грн,"Печерський,",
"вул. Воздвиженська, 21-23",4 кімнати,210 м²,112 360 грн,"Подільський,",
"Тютюнника Василия, 37/1",3 кімнати,120 м²,56 180 грн,"Печерський,",
"узвіз Кудрявський, 3Б",2 кімнати,87 м²,41 198 грн,"Подільський,",
"вул. Драгомирова, 20",3 кімнати,84 м²,48 689 грн,"Печерський,",
"вул. Мічуріна, 54",2 кімнати,183 м²,131 086 грн,"Печерський,",
"Украинки Леси бул., 30Б",3 кімнати,123 м²,56 180 грн,"Печерський,",
"вул. Раїси Окіпної, 18",3 кімнати,100 м²,59 925 грн,"Дніпровський,",
"вул. Саперне Поле, 5",3 кімнати,92 м²,108 614 грн,"Печерський,",
"вул. Саксаганського, 70А",2 кімнати,93 м²,48 689 грн,"Голосіївський,",
"вул. Золотоворітська, 131",4 кімнати,176 м²,71 161 грн,"Шевченківський,",
"пров. Лабораторний, 7",2 кімнати,76 м²,41 198 грн,"Печерський,",
"вул. Набережно-Рибальська, 3",1 кімната,50 м²,37 453 грн,"Подільський,",Дніпро
"вул. Драгомирова, 17",4 кімнати,155 м²,131 086 грн,"Печерський,",
"вул. Костьольна, 10",4 кімнати,100 м²,37 453 грн,"Шевченківський,",
"вул. Гоголівська, 14",2 кімнати,90 м²,41 198 грн,"Шевченківський,",Хрещатик
"вул. Лабораторна, 8",4 кімнати,170 м²,48 689 грн,"Печерський,",
"вул. Саперне Поле, 14\55",3 кімнати,180 м²,131 086 грн,"Печерський,","Палац ""Україна"""
"Тверський туп., 7Б",2 кімнати,76 м²,37 453 грн,"Печерський,","Палац ""Україна"""
"вул. Раїси Окіпної, 18",4 кімнати,187 м²,104 869 грн,"Дніпровський,",
вул. Драгомирова,4 кімнати,130 м²,93 633 грн,"Печерський,",
"вул. Золотоустівська, 50",5 кімнат,163 м²,29 963 грн,"Шевченківський,",
вул. Драгомирова,3 кімнати,135 м²,48 689 грн,"Печерський,",Дружби народів
вул. Драгомирова,3 кімнати,90 м²,112 360 грн,"Печерський,",Дружби народів
"вул. Чавдар Єлизавети, 13",2 кімнати,78 м²,20 000 грн,"Дарницький,",Осокорки
"пл. Лесі Українки, 12",2 кімнати,44 м²,21 000 грн,"Печерський,",
"вул. Ковпака, 17",4 кімнати,138 м²,37 453 грн,"Печерський,",
вул. Ковпака,3 кімнати,120 м²,33 708 грн,"Печерський,","Палац ""Україна"""
"вул. Драгомирова, 18",4 кімнати,160 м²,82 397 грн,"Печерський,",Дружби народів
Бойчука Михаила,1 кімната,46 м²,22 500 грн,"Печерський,",Печерська
просп. Бажана Миколи,2 кімнати,46 м²,24 345 грн,"Дарницький,",Славутич
"вул. Драгомирова, 20",2 кімнати,90 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Коновальця Євгена, 37",3 кімнати,60 м²,20 000 грн,"Печерський,",
вул. Жилянська,3 кімнати,86 м²,59 925 грн,"Голосіївський,",Вокзальна
"вул. Золотоворітська, 13",4 кімнати,176 м²,71 161 грн,"Шевченківський,",Золоті ворота
"вул. Лисенка, 1",3 кімнати,81 м²,67 416 грн,"Шевченківський,",
"вул. Мечникова, 16",2 кімнати,62 м²,37 453 грн,"Печерський,",Кловська
"вул. Горького, 44",3 кімнати,89 м²,74 906 грн,"Голосіївський,",
"вул. Золотоустівська, 34",3 кімнати,100 м²,67 416 грн,"Шевченківський,",Лук'янівська
"бул. Лесі Українки, 7Б",3 кімнати,175 м²,63 670 грн,"Печерський,",Печерська
"вул. Богдана Хмельницького (Вигурівщина), 58А",3 кімнати,80 м²,67 416 грн,"Шевченківський,",Золоті ворота
"вул. Василя Тютюнника, 22/26",3 кімнати,90 м²,37 453 грн,"Голосіївський,",Олімпійська
"вул. Василя Тютюнника, 51/2",2 кімнати,75 м²,29 963 грн,"Печерський,",
"Сталинграда Героев пр-т, 6Д",2 кімнати,58 м²,26 217 грн,"Оболонський,",Оболонь
"Сталинграда Героев пр-т, 2Д",4 кімнати,117 м²,48 689 грн,"Оболонський,",Оболонь
"вул. Михайлівська, 24Б",4 кімнати,200 м²,63 670 грн,"Шевченківський,",Майдан Незалежності
"бул. Лесі Українки, 7Б",3 кімнати,130 м²,63 670 грн,"Печерський,",Печерська
"вул. Володимирська, 49А",5 кімнат,212 м²,67 416 грн,"Голосіївський,",Золоті ворота
"вул. Ярославів Вал, 14В",3 кімнати,82 м²,71 161 грн,"Шевченківський,",Лук'янівська
"вул. Маккейна Джона, 7",2 кімнати,45 м²,33 708 грн,"Печерський,",
"вул. Драгомирова, 3",2 кімнати,86 м²,56 180 грн,"Голосіївський,",
"вул. Саперне Поле, 3",2 кімнати,65 м²,29 963 грн,"Печерський,",
"вул. Набережно-Рибальська, 9",1 кімната,47 м²,37 453 грн,"Подільський,",
"вул. Горького, 44",3 кімнати,89 м²,93 633 грн,"Голосіївський,",
"вул. Драгомирова, 18",4 кімнати,160 м²,67 416 грн,"Печерський,",
"вул. Деміївська, 62",3 кімнати,120 м²,37 453 грн,"Голосіївський,",
"вул. Княжий Затон, 11",4 кімнати,156 м²,37 453 грн,"Дарницький,",
"вул. Саперне Поле, 5",1 кімната,175 м²,168 539 грн,"Печерський,",
"вул. Митрополита Василя Липківського, 35",3 кімнати,88 м²,26 217 грн,"Солом'янський,",
"вул. Маккейна Джона, 14Б",1 кімната,55 м²,29 963 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 37/1",3 кімнати,115 м²,56 180 грн,"Печерський,",
"вул. Зарічна, 2",3 кімнати,79 м²,37 453 грн,"Дарницький,",
"Маланюка, 101",3 кімнати,101 м²,48 689 грн,"Дніпровський,",Гідропарк
"вул. Василя Тютюнника, 37/1",3 кімнати,92 м²,59 925 грн,"Печерський,",
"пров. Михайлівська, 3/16",3 кімнати,90 м²,33 708 грн,"Шевченківський,",
"вул. Маккейна Джона, 7",2 кімнати,75 м²,44 944 грн,"Печерський,",
"вул. Золотоустівська, 34",3 кімнати,100 м²,67 416 грн,"Шевченківський,",
