Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Михайла Грушевського, 34А",3 кімнати,82 м²,28 000 грн,"Печерський,",Арсенальна
"Евгена Маланюка, 101Ш",2 кімнати,70 м²,14 000 грн,"Дніпровський,",Лівобережна
"просп. Берестейський(Перемоги), 55А",2 кімнати,55 м²,20 000 грн,"Шевченківський,",Берестейська
вул. Соломії Крушельницької,1 кімната,40 м²,13 000 грн,"Дарницький,",Позняки
"вул. Радунська, 9А",1 кімната,43 м²,7 000 грн,"Деснянський,",
"узвіз Кловський, 24",2 кімнати,46 м²,12 000 грн,"Печерський,",Кловська
"вул. Ігоря Турчина, 15",1 кімната,31 м²,8 000 грн,"Шевченківський,",Нивки
"вул. Салютна, 13",1 кімната,36 м²,9 000 грн,"Шевченківський,",Нивки
вул. Підгірна,1 кімната,35 м²,12 500 грн,"Шевченківський,",Лук'янівська
"вул. Чигоріна, 61",2 кімнати,48 м²,12 000 грн,"Печерський,",Печерська
просп. Бажана Миколи,3 кімнати,100 м²,9 500 грн,"Дарницький,",Осокорки
"вул. Деміївська, 51",2 кімнати,68 м²,14 000 грн,"Голосіївський,",Голосіївська
