Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"бул. Лесі Українки, 7Б",3 кімнати,92 м²,101 124 грн,"Печерський,",Печерська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Глибочицька, 32",3 кімнати,123 м²,56 180 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4624229, 'lng': 30.4933058}"
"вул. Драгомирова, 11",3 кімнати,120 м²,74 906 грн,"Шевченківський,",,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Митрополита Василя Липківського, 38",2 кімнати,55 м²,31 086 грн,"Солом'янський,",Вокзальна,"{'lat': 50.432582, 'lng': 30.475023}"
"бул. Дружби Народів, 14-16",3 кімнати,85 м²,44 944 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}"
"вул. Коновальця Євгена, 34",3 кімнати,112 м²,37 453 грн,"Печерський,",,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Глибочицька, 13",2 кімнати,65 м²,44 944 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4618135, 'lng': 30.48904769999999}"
"вул. Сергія Колоса, 2",2 кімнати,50 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}"
"просп. Голосіївський, 30Б",4 кімнати,168 м²,56 180 грн,"Голосіївський,",Деміївська,"{'lat': 50.4058645, 'lng': 30.5160392}"
"вул. Драгомирова, 17",3 кімнати,125 м²,101 124 грн,"Печерський,",Дружби народів,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Предславинська, 42А",3 кімнати,91 м²,67 416 грн,,Либідська,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Василя Тютюнника, 37/1",1 кімната,130 м²,93 633 грн,",",,"{'lat': 50.421121, 'lng': 30.5263204}"
"вул. Пушкінська, 21",4 кімнати,170 м²,131 086 грн,"Шевченківський,",Театральна,"{'lat': 50.443824, 'lng': 30.51796599999999}"
"вул. Коновальця Євгена, 34",3 кімнати,127 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4267967, 'lng': 30.5344145}"
"вул. Драгомирова, 18",2 кімнати,90 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"просп. Володимира Івасюка, 2Г",4 кімнати,163 м²,44 944 грн,"Печерський,",,"{'lat': 50.4907014, 'lng': 30.5265027}"
"вул. Ділова, 1/2",3 кімнати,103 м²,74 906 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"просп. Володимира Івасюка, 24",5 кімнат,270 м²,63 670 грн,"Оболонський,",Мінська,"{'lat': 50.5115776, 'lng': 30.5085657}"
"вул. Саперне Поле, 3",3 кімнати,136 м²,78 652 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Глибочицька, 73-79",2 кімнати,50 м²,37 453 грн,"Шевченківський,",Контрактова площа,"{'lat': 50.4632151, 'lng': 30.5039694}"
"узвіз Андріївський, 2Б",2 кімнати,80 м²,41 198 грн,"Подільський,",Поштова площа,"{'lat': 50.4621465, 'lng': 30.5174651}"
"вул. Тараса Шевченка, 27Б",4 кімнати,170 м²,56 180 грн,"Шевченківський,",Університет,"{'lat': 50.5087327, 'lng': 30.7674425}"
"вул. Маккейна Джона, 7",3 кімнати,75 м²,56 180 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}"
"просп. Володимира Івасюка, 6",3 кімнати,116 м²,48 689 грн,"Оболонський,",,"{'lat': 50.4944968, 'lng': 30.5225088}"
"вул. Авіоконструктора Антонова, 2Б",1 кімната,102 м²,48 689 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4301478, 'lng': 30.4635295}"
"вул. Богдана Хмельницького, 58А",3 кімнати,95 м²,67 416 грн,"Шевченківський,",Університет,"{'lat': 50.4480724, 'lng': 30.5054962}"
"пров. Бехтерєвський, 14",3 кімнати,130 м²,59 925 грн,"Подільський,",Контрактова площа,"{'lat': 50.4584793, 'lng': 30.4969044}"
"вул. Лесі Українки, 7Б",3 кімнати,136 м²,44 944 грн,"Печерський,",,"{'lat': 50.5173448, 'lng': 30.4411443}"
"вул. Саксаганського, 89",1 кімната,2 м²,37 453 грн,"Голосіївський,",,"{'lat': 50.439218, 'lng': 30.50169499999999}"
"вул. Панаса Мирного, 14",3 кімнати,98 м²,37 453 грн,"Печерський,",Кловська,"{'lat': 50.4334654, 'lng': 30.5411952}"
"вул. Драгомирова, 20",4 кімнати,185 м²,104 869 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Саксаганського, 37К",2 кімнати,67 м²,48 689 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Лютеранська, 21",3 кімнати,110 м²,44 944 грн,"Шевченківський,",Хрещатик,"{'lat': 50.4443452, 'lng': 30.52675649999999}"
"просп. Бажана Миколи, 10",3 кімнати,118 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.3950225, 'lng': 30.6191444}"
"вул. Сергія Колоса, 2",2 кімнати,67 м²,37 453 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Саперне Поле, 5",2 кімнати,55 м²,41 198 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Сергія Колоса, 2",2 кімнати,46 м²,74 906 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Юрія Іллєнка, 18Б",3 кімнати,126 м²,37 453 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.46657949999999, 'lng': 30.47665569999999}"
"вул. Межигірська, 28",5 кімнат,172 м²,44 944 грн,"Подільський,",Контрактова площа,"{'lat': 50.4687017, 'lng': 30.51276259999999}"
"вул. Саксаганського, 37К",2 кімнати,65 м²,37 453 грн,"Голосіївський,",Університет,"{'lat': 50.4354538, 'lng': 30.5125045}"
"Дмитрівська вулиця, 66А",3 кімнати,122 м²,44 944 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4530266, 'lng': 30.4889795}"
"вул. Василя Тютюнника, 53",1 кімната,48 м²,37 453 грн,",",,"{'lat': 50.4168157, 'lng': 30.5288956}"
"вул. Драгомирова, 18",3 кімнати,84 м²,48 689 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"бул. Лесі Українки, 7Б",4 кімнати,160 м²,63 670 грн,"Печерський,",Кловська,"{'lat': 50.43268639999999, 'lng': 30.5334457}"
"вул. Михайла Грушевського, 9А",4 кімнати,237 м²,187 266 грн,"Печерський,",Арсенальна,"{'lat': 50.445428, 'lng': 30.543857}"
"вул. Авіоконструктора Антонова, 2Б",4 кімнати,185 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4301478, 'lng': 30.4635295}"
"вул. Тургенєвська, 44",4 кімнати,167 м²,112 360 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4523333, 'lng': 30.4923014}"
"вул. Драгомирова, 18",3 кімнати,87 м²,63 670 грн,"Печерський,",Дружби народів,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Саперне Поле, 5",3 кімнати,80 м²,59 925 грн,"Печерський,",Либідська,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"узвіз Кловський, 7",3 кімнати,159 м²,74 906 грн,"Печерський,",Кловська,"{'lat': 50.4405345, 'lng': 30.5389159}"
"вул. Університетська, 17А",2 кімнати,73 м²,37 453 грн,"Солом'янський,",,"{'lat': 50.41652939999999, 'lng': 30.4859611}"
"вул. Буслівська, 12",4 кімнати,120 м²,89 888 грн,"Печерський,",Дружби народів,"{'lat': 50.4073727, 'lng': 30.5566101}"
"вул. Назарівська, 23",3 кімнати,146 м²,74 906 грн,"Голосіївський,",Дружби народів,"{'lat': 50.4438851, 'lng': 30.4991262}"
"вул. Тверська, 2",5 кімнат,170 м²,37 453 грн,"Печерський,",,"{'lat': 50.4202939, 'lng': 30.52522059999999}"
"просп. Лобановського, 157г",3 кімнати,110 м²,39 775 грн,"Голосіївський,",,"{'lat': 50.407781, 'lng': 30.50219169999999}"
"вул. Академика Філатова, 53",3 кімнати,80 м²,43 071 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Ділова, 2",2 кімнати,85 м²,44 944 грн,"Печерський,",Олімпійська,"{'lat': 50.4300933, 'lng': 30.5216232}"
"вул. Богдана Хмельницького (Вигурівщина), 58А",3 кімнати,80 м²,63 670 грн,"Шевченківський,",Університет,"{'lat': 50.4465095, 'lng': 30.510173}"
"пров. Лабораторний, 7",2 кімнати,70 м²,44 944 грн,"Печерський,",Печерська,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Саперне Поле, 3",2 кімнати,78 м²,74 906 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Микільсько-Слобідська, 1/25",3 кімнати,80 м²,37 453 грн,"Печерський,",,"{'lat': 50.4543149, 'lng': 30.5930537}"
"вул. Коновальця Євгена, 26А",3 кімнати,135 м²,82 397 грн,"Печерський,",Печерська,"{'lat': 50.42695519999999, 'lng': 30.5307143}"
"Дмитриевская улица, 69",3 кімнати,105 м²,41 198 грн,"Шевченківський,",,"{'lat': 50.4548104, 'lng': 30.48681169999999}"
"вул. Болсуновська, 2",3 кімнати,126 м²,71 161 грн,"Печерський,",,"{'lat': 50.4213737, 'lng': 30.5525159}"
"вул. Авіоконструктора Антонова, 2Б",3 кімнати,102 м²,48 689 грн,"Солом'янський,",,"{'lat': 50.4301478, 'lng': 30.4635295}"
"вул. Юрія Шумського, 3Г",4 кімнати,113 м²,37 903 грн,"Дніпровський,",,"{'lat': 50.4241723, 'lng': 30.6039173}"
"вул. Зарічна, 1",2 кімнати,65 м²,37 453 грн,"Дарницький,",,"{'lat': 50.3950654, 'lng': 30.6021594}"
"вул. Ділова, 1/2",2 кімнати,52 м²,56 180 грн,"Печерський,",,"{'lat': 50.4296732, 'lng': 30.5204858}"
"вул. Павлівська, 26/41",3 кімнати,120 м²,44 944 грн,"Шевченківський,",Вокзальна,"{'lat': 50.4519736, 'lng': 30.4861119}"
"вул. Саксаганського, 37К",1 кімната,65 м²,52 434 грн,"Печерський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Саперно-Слобідська, 10",3 кімнати,106 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.4037954, 'lng': 30.53113249999999}"
"вул. Саксаганського, 37К",1 кімната,65 м²,52 434 грн,"Печерський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Патріса Лумумби, 11",3 кімнати,79 м²,48 689 грн,"Печерський,",,"{'lat': 50.4209277, 'lng': 30.5326337}"
"пл. Бессарабська, 5",3 кімнати,90 м²,56 180 грн,"Печерський,",Площа Льва Толстого,"{'lat': 50.4428514, 'lng': 30.5223082}"
"вул. Набережно-Рибальська, 3,9",2 кімнати,75 м²,37 453 грн,"Подільський,",,"{'lat': 50.4796944, 'lng': 30.5348749}"
"вул. Льва Толстого, 11/61",5 кімнат,228 м²,93 633 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.439562, 'lng': 30.5115706}"
"вул. Олеся Гончара, 35",4 кімнати,180 м²,168 539 грн,"Шевченківський,",,"{'lat': 50.4510787, 'lng': 30.5074115}"
"вул. Академика Філатова, 53",2 кімнати,133 м²,44 944 грн,"Печерський,",Либідська,"{'lat': 50.41429, 'lng': 30.5324443}"
"вул. Сергія Колоса, 2",3 кімнати,85 м²,67 416 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}"
"просп. Берестейський(Перемоги), 26А",3 кімнати,76 м²,37 453 грн,"Шевченківський,",Політехнічний інститут,"{'lat': 50.4518284, 'lng': 30.4675085}"
"вул. Шовковична, 20",3 кімнати,100 м²,56 180 грн,",",,"{'lat': 50.4438153, 'lng': 30.5316605}"
"вул. Драгомирова, 15А",4 кімнати,180 м²,149 813 грн,"Печерський,",Дружби народів,"{'lat': 50.4083814, 'lng': 30.54588439999999}"
